sample,function,label,source,cosine_dist_to_real,dist_bucket
"This kettle, is covered with scale, now look, see Twelve point six is asking you which one of these is causing the problem?",AS,,real,,
Look West Brom,DIR,,real,,
"So I might be showing myself doing worst than I should be but, look, my actual come out about the same and so when I compare my actual with my planned, I get er, an answer which should approach one.",AS,,real,,
"They said look, if males can have greater reproductive success than females can, then parents who have some way of knowing that their offspring are gonna be particularly reproductively successful should invest in males, whereas if they have some way of knowing that their offspring are not gonna be particularly reproductively successful, they should invest in females.",AS,,real,,
"you know, look, I always look through headlines and read what I'm interested, ",AS,,real,,
"Yes, okay, well look if you'd actually asked me before we started, I could have actually found the number.",AS,,real,,
"right I'm pleased [laugh] pleased to introduce to us, er, er against all these difficulties and the nearer you are at the front the better, there's all stuff here look",DIR,,real,,
"And that would be, that would be, so if we're doing it this way, right, let's let's erm, forget about where we are sitting at the moment now, and just look we're in a helicopter looking at these ships now, so this one radios you in the helicopter and says, that ship S is on a bearing of forty five degrees",AS,,real,,
"Well look the the one quarter part of it means,  find the fourth root of sixteen and then the three means cube your answer.",AS,,real,,
"say to them ‘Look, I'm planning to try and do this work, but I don't just want to do this on my own, I want to take into account other people's views.’",AS,,real,,
"Natalie look, look",DIR,,real,,
"So I said, well I I explained, now look, you were on an export price list now, one of the things Jerry didn't like ",AS,,real,,
"Now here he is, look, see?",DIR,,real,,
"hat, that's a sensible kind of conclusion to draw and perhaps this would meet Kirsty's point as well, because the  what you might be tempted to say is look erm, in our cultures we have, we have absorbed from our cultures ways of seeing the world, bits about history and things restructure our thoughts and even when we try and do something new, I'd say let's have a revolution everybody, put up your barricades, you know,  actually we had some great fun in the sixties with that erm the, when this happens there's a tendency to nevertheless do it in the traditional way, in other words although obviously the sixty eight revolution was about a completely different issue than the seventeen ninety eight revolution, it was very much later in history",AS,,real,,
"Look, see he's just  he pry trying to brake.",DIR,,real,,
"He said, Look, I'm his Dad, what did you pay the others?",AS,,real,,
Look will you promise you won't open that.,AS,,real,,
"Yes, and one of the great ironies is that when I'm talking to students about the nature of history, one of the first things I try and say to them is ‘Look, don't have this idea that there's a great bundle of documents lying in an attic, and this is the way that history works, that people make a sensational discovery and then they write a book about it.",AS,,real,,
"And  going on from that surely we argue that the May the fourth directive  came about or certainly was, was put out as this is what the peasants  three times the peasants had demanded land return  I E they were in advance of the Party, they were more radical, they, they were, in a way they were saying look this, this rent reduction is not enough  we want a much stronger programme, we actually want the land reform. ",AS,,real,,
"The only erm exception and that's not even in your price structure, is that if somebody says, Look is there any chance I can have colour, that's the only place they can have it on the back copy back cover sorry.",AS,,real,,
"Look, slow down, or you're driving me mad.",AS,,real,,
"and we'd been up all night serving troops and er, you see, and then the Manager said, well look er  now and have some breakfast before we get th another telegram and we were",AS,,real,,
"I dunno I mean I'll mention it to the deputy again and say look we're getting towards the end of a financial year, there will be some departments underspent because er suppliers can't meet deadlines and really you should keep in mind that w we haven't got er we can't just pluck five thousand pounds out of our budget.",AS,,real,,
"No, no.Look.Natalie,Look.it's gonna look in my eye.",DIR,,real,,
"Well of course she came running to me, you see, and we immediately phoned for the doctor, you see but, however, and I said, look, phone for the doctor, I said, and then I said go across to the railway police just across the yard and I asked one of them to come to me and I said I will go up with her and be with her until the doctor arrived, er he was with her the police sergeant when she died.",AS,,real,,
"look, look, may I put it this way, we're in the directive of being able to point to something which permits the Secretary of State to delegate the function, that what's it for",DM,,real,,
"Erm you know, and these achievements, he's not saying that  you know re rev revolution's the way forward, he's actually saying look what's happened before under the",AS,,real,,
"Now look, now, now just let me tell her this",DM,,real,,
"Just to say, look,",AS,,real,,
"Look, there's a car reversing.",DIR,,real,,
"And one thing we will learn from it I think, if we're honest with ourselves, and we put, and try and save up and have a piece on the end there, but the one thing I think we will perhaps come to, and the one conclusion we may come to, is the fact that whilst we, we do live in this world and I absolutely agree that if somebody says, look I need to see a new  as well, I need to see you now, or I need to see you tomorrow, that'll be difficult, OK, and that's the immediacy of the business",DM,,real,,
the kids said gosh look how many of these bus drivers are women and i said you know that really is a good indication of some of the jobs that have been,DIR,,real,,
Well okay well look I I now I need a commitment.,AS,,real,,
"look, one two three, up you go.",DIR,,real,,
"Erm look, flip your eyes down the bottom of the speech on page thirty one what is erm amusing which bits are amusing and describe the humour in that speech there by George?",AS,,real,,
"So I asked them in the lodge like don't do any damage and Tom was in e he gave them a good lecture  so  and the lads in the lodge said, Well look you tell them as well not to do this attitude and perhaps you've seen it on these flumes when they saw a crowd that was there they were changing gear with the Land Rover and through you know like anybody in the way you'd be underneat",AS,,real,,
"Look, Grant! Just give me five minutes, okay?",AS,,real,,
"And the same thing, that if a major client like the Health and Safety Executive said to me, Ricky we're running a regional training week in the last week of November, and we want you for three days, you know, I, I don't say to them well look you know, well two of those days are catch up days, I can't possibly do it, why don't you move your whole regional training week to next week?",DM,,real,,
"Oh look, there's your spade, darling!",INTJ,,real,,
Look can we do one show here we're doing two at the moment?,AS,,real,,
So one of the things about qualifying er the surgery when you walk into them and say well look you know about the hundred pound per full page,AS,,real,,
"Come and say bye-bye to mummy, look, cos she's in a hurry.",AS,,real,,
"Look, look women are doing it too!",AS,,real,,
"It started in the Autumn of eighty-eight, when Phil approached me and said, ‘Look, we would like to consider putting our services that we do offer to finance in a more effective way’, running alongside that was a project being run by Oxfordshire Health Authority where they were sending postal surveys to elderly people; people over the age of seventy erm sixty-five at one point, and were getting back a huge amount of information on their perceived needs.",AS,,real,,
"Cheerio. This way. This way, look.",AS,,real,,
"Well look, I mean why don't I leave it to you to get in contact with",AS,,real,,
"I've just put my house on the market in York I've chosen the  if erm that's that's you know the whole taking the whole scene into consideration, but if I was in Bournemouth for instance and buying a house in York and I said I phone three or four estates agents and said, Look please send me information through the post.",AS,,real,,
"h it's not someth you know, it's not s something that I'm prepared to stick my neck out and say, Look you know, I I don't think that word ought to appear anywhere.",DM,,real,,
"look Richard, Richard, I want you to put your coat on now anyway, coat on please now",AS,,real,,
Look it's obvious this one's a double positive and that's a double negative so they're going to go together and you're left with H and O H which is going to make the water it's obvious isn't it,AS,,real,,
"And er, later of course, he became the American Ambassador of Vienna, so Freud met him, but so, so, Bullett had a personal stake in this, but I must admit, er my own view was, was rather to admire Bullett for his stand, because it's a rare politician who stands up and says look, you know, we've been there, having made promises, we've broken all of them, and we ought to resign, or you ought to resign",AS,,real,,
Now that would not be what one would expect  er two months ago if I'd said well look you know that's  that's what the revolution's gonna bring about you would've said I don't believe you.,AS,,real,,
and you know i said to her well look you know if you feel you got to go go but i- i think a thousand dollars these guys i don't know what it is but there's no doubt they get kickbacks to fill these machines up night and day,AS,,real,,
"And so what it does after the first ten minutes, it says, look I've had enough of this, what's the grey haired old bugger on about now, oh ,",AS,,real,,
"OhLook, it's just a wee light",DIR,,real,,
". that cadres would, would, would go into a village and they would say look erm  that is the normal yield for that bit of land.",AS,,real,,
"Gosh, balm cake doesn't have any essence at all, you know, erm that'll be astonishing finding is, whereas your point is, look it might just be some of all these things in some proportion or some ratio.",AS,,real,,
[noise] you know if we don't want that to happen all we have to do is just call the phone company and say look you know i want my name unlisted or i want my you know,AS,,real,,
"And in the closing pages of the book, he answers this  this er, problem, by saying, well look, er, you don't have to base morality, civilization, and social order on an illusion.",AS,,real,,
yeah and then and then some some rich yo-yo walks in there who's buddies with the bank president saying look i want to borrow,DIR,,real,,
"Look s s seriously the point the point I'm making is that for for most jobs of an average sort of size, what happens under A C E scale fees as I understand it, if I'm wrong I'm I stand corrected.",AS,,real,,
Do you want to play scrabble?  Look Isobel Let me take that,DIR,,real,,
"But also, look as those er, those short answers, now it's important that you answer the short answer questions well alright, because it's, it's a lot easier to get good marks on a short answer question, providing you do it well, than it is on a long answer question.",AS,,real,,
Look forgive me and were the first of the two troops going in through that door.,AS,,real,,
"What a strange place it was. LOOK here, look here Scott",DIR,,real,,
"So I then rushed to the front of the building, I said Look, will you come in please?",AS,,real,,
"Some people, Oh these  visitors and people used to say to me, Well now look, I said like that, visitors, I said like that, there's enough stuff for everybody.",DM,,real,,
"See there's the one trying to come out, look . Look. And he got straight in front there",DIR,,real,,
Er look erm Kids' County anyway who are they talking about?,AS,,real,,
"Well look  why don't you just sketch it out on there so I know the sort of thing that yo  oh, you've got one have you?",AS,,real,,
Patients experienced improved health outcomes thanks to productive dialogue and shared decision-making regarding their care.,DIR,,real,,
"Well look folks we'll have to stop now it's gone eleven and I have to give a lecture  Joy, er that was an excellent er summary, well done.",AS,,real,,
"She said, well look, go back to your doctor she says.",AS,,real,,
LOOK it'll be your bedtime  ,AS,,real,,
Look look quite significant.,DIR,,real,,
and even if you don't it's gonna c you know And er you get a few choice words and then eventually you say Well well look we'll go outside and sit outside for a few minutes and d and wait till you've decided what and don't forget i time you kn you kn,AS,,real,,
"And course he'd frightened himself and er I counted up to about eight, nine and ten I said to him, Look when you go inside that bloody gate now I said go straight into the office sit down and think for a minute where the hell are we all going to in this carry on?",AS,,real,,
Erm look I'll put June on from Mansfield first of all I wanted thirty seconds worth of famous dogs cos we had er why Nottinghamshire's dogs are too dumpy earlier on didn't we? [tape change],AS,,real,,
Look Sharon from Grantham is taking you on today.,AS,,real,,
"Well I went and worked in a factory for about nine months I suppose, and the man himself, cos it was casting, brass castings, the man himself says, he says look son, this job's no good to you I'll tell you that.",AS,,real,,
Look what I'm saying,AS,,real,,
yknow look,DM,,real,,
"I mean, James Frazer would have read her novel, cos I think that's all you can call it, Coming of Age in Samoa, because it's mainly fictional, he would've read her novelistic account, and then he would have compared it with other accounts, which had been published in German and other languages, and accounts of, of Samoans themselves, and he would have said, look there's something wrong here.",AS,,real,,
And if you were a a lecturer in politics and you went to see this play then you might think oh look  oh and then you'd start thinking and if you were a scientist you would think about it in another way and if you were an artist you'd think about it in another way.,AS,,real,,
we've that's that's the we're look we look it as as yeah we're living like this now but it's a short term investment for for a better lifestyle later on,AS,,real,,
"I mean, I can well recall in my own analysis with , of course, for the first six months she said nothing, and I used to get very frustrated, and say, look, what do you think of this?",AS,,real,,
Look can you move over here look cos it's nearly our turn.,DIR,,real,,
Oh look! The boys and girls are coming for play time I saw Erin,INTJ,,real,,
"Er, it's not in my nature to be authoritarian with my students but if I could be authoritarian I would say look, you're not allowed to use that word, and if you do you've gotta pay a pound.",AS,,real,,
"Look, don't mess about.",AS,,real,,
[shouting] Look!,DIR,,real,,
"And this an argument that's often put forward by the National Farmers Union, and other agricultural lobby groups, essentially erm, er, it's saying to sort of er, the European Community when they're price setting, look there's no point in you er, reducing agricultural product prices, cos all that's going to do is increase supply",AS,,real,,
so it's it's uh you know saying well look you know we don't like the way he looks and let's uh let's throw the rascal in jail and stuff,AS,,real,,
"Those are the first ones you contact but you still have to sit down with one of the estate agents and say, Well look what sort of business do you give them?",AS,,real,,
"So we we well all I suggest is we get the three together after the meeting, John and our two men and say, well look, who's done it and if they haven't, see the other man when he comes on.",AS,,real,,
Look every time we've done it  that's what we also do it goes out on the manager's report w with the minutes or with the agenda.,AS,,real,,
"Look, we're gonna have to stop.",AS,,real,,
"Yes he's built a business up and I'm not denying him that er or anything at all, But somehow now er I don't know whether the wheel is turning too fast for him to co keep up with it or whether it's erm oh never mind the erm the industry of the locality, providing the money stakes a I know every business has got to pay for itself and that we we're not, If this quarry was on the down grade and er er somebody had come to us said, look unless you take a drop in your wages er we can't survive that would be a different issue altogether.",AS,,real,,
there is the backview look. I mean that's that's a backdoor,DIR,,real,,
Look there's Kids' County Elizabeth where are we after?,AS,,real,,
"Look, look, you're ",AS,,real,,
So where might you say  Okay look er what I'd like to do is  ask questions.,AS,,real,,
"In the next step of the argument, he then said, well, religion is a transference, and therefore a form of infantilism, so now he seems to be criticizing religion, but if he's criti criticizing religion by saying it's an illusion, surely he's jeopardizing civilization, because the danger, as he points out in the book, if you take religion away from people, you say, look, this is just an illusion, God doesn't exist.",AS,,real,,
[laughter] and as near as i could tell seeing that was basically {antimetric} propaganda cause anyone who would say well look i can either buy a pound of something at four hundred sixty four point six grams which of course they couldn't weigh it out accurately anyway um,AS,,real,,
"Well the only think which erm, which erm  I I  and I said look  this er system  because no way  .",AS,,real,,
What doesn't react very well out of that lot? Er carbon.Carbon.Well Look OxygenYou've got  three things in blast furnace gas,AS,,real,,
"audience.With this new approach, she received positive feedback on her presentation from both industry experts and laypeople alike.",DM,,real,,
Look erm,AS,,real,,
well look i've enjoyed speaking with you,AS,,real,,
"You've got one or two there, look, that come along. ",DIR,,real,,
"What sort of, erm, pressure or involvement or leadership ought to be given, or wh , yeah, what pressure ought to be put on the business sector, in order that it should sort of, conform ... conform is not a very good word, in order, it's ability to to contribute to the voluntary sector, and engage with it, should not be based upon individual and enlightened examples, such as I B M's, but should pull upwards the rest of the business sector, in other words, should N C V O actually says to the business sector as a whole, look, we think globally this is what you ought to be doing",AS,,real,,
"So we know, we should and remember of course that in the book Freud chooses two examples as Joy told me the church and the army ... and these are just examples and of course Freud chooses them partly because they're very big groups so they in some ways they er exemplify the principles he's talking about because clearly in a small group like this you could say well look, what is going on is really  I mean we all have, we all know each other and it's a face-to-face group and really what happens here is an  of the dynamics  group and I think it is actually.",AS,,real,,
"With this new approach, she won approval for her concept and was given the green light to develop the product line.",DM,,real,,
Look that will happen to everybody in this room and everybody outside.,AS,,real,,
But then you foil a new project to your expenditure and say look if you want to do these as indeed,DIR,,real,,
"Er but in our London office, apparently they do a lot of inheritance tax planning because of the size of estates, and they actually invite the children in, and say to the children look, you know, if erm you die, the estate will be devalued by forty thousand because of tax, er if you want to make provision the, the er the contract is still written on the erm, the erm individuals' lives, but it can then be erm  paid by the children, so your children can then pay the premiums.",AS,,real,,
So to get back to what we say er yeah I like to fix a date and if people phone up and say well look I've I've got something else or I've changed my mind I would rather have that than to have lots of paper work on my desk that just says may be or may be not.,AS,,real,,
"With this new approach, she gained support for her initiative and organized a successful charity event that positively impacted local organizations.",DM,,real,,
"I said, well look, we intend to fax through to Roy saying, yes we want to do business with you.",AS,,real,,
Each collection is aimed at a very specific market.LookNo Hands!,DIR,,real,,
could say to a parent but look the timetable says,DM,,real,,
"sshh, look, there's Paul look, there's Paul cleaning his car",DIR,,real,,
i need to go over there and just drive around and look it's,AS,,real,,
Look we'll get 'em,AS,,real,,
"Yeah, so yeah ah you're alright so you'll say yeah course I'm alright,  there's no fee, so eventually I get to the point where I said look I did say there's no fee involved but I'd, I, that's a bit of a lie because there is a fee for all the work I'm er but it comes in the form of referrals, in the form of recommendation, not actual money.",AS,,real,,
that sort Look,DIR,,real,,
"your brother is being naughty, he's run away up the street look! Where is Bryony?",DIR,,real,,
"realism of the outputs I, I think what you're saying is, look, these might be okay but this one isn't",AS,,real,,
and you know but she's been really good and she hasn't really said much and i go well look you know today we're going to go out and get something so we went out and blew about a hundred bucks but you know for us that's a that's huge for me you know but you know some people do it every weekend,AS,,real,,
"Had Darwin known about this you see Darwin could have turned on his critics and said, look, in the first place you're quite wrong about genetics, there is no  or at least there doesn't have to be  because mutations occur as errors or changes in the base sequences in, in the genetic code.",AS,,real,,
"I think I went down to most people to say they can't, but when you point out something to them, they say yes I can see that, look there's this as well and I think culturally er were led to believe if you don't succeed in it, erm but in actual fact I think that you all do, but perhaps I think the books do, either assess it and give it value or, or still allow it to happen",AS,,real,,
Ooh look ... look.,INTJ,,real,,
"For example, erm, in erm, paranoia, delusions of persecution where people believe that [cough]  is plotting against them, and no matter what you do, erm, you know if you said well look, we can prove to you we are not plotting against you, the paranoic says to you, why do you want to prove this to me, if it's not true, you know.",AS,,real,,
"Now this is important because another criticism th th that Darwin's critics made was, hey look, sometimes people inherit things that're very bad for them.",DM,,real,,
"I mean, that's no reason, but we shouldn't be sort of saying, well look let's not, lets all not do this booklet now",AS,,real,,
"Should we not first see how this  or should we say, look let's go for it now because I mean you know, we've been going now some years, what another year because",INTJ,,real,,
Look I cannot conceive of development taking place on this land without coming into conflict with those policies.,AS,,real,,
 He paid a debt which he did not owe because we are a debt that we will never be able to pay.,DIR,,real,,
"they've said oh look, this is Freud's Lamarckism, we know this is all wrong, so let's forget all that because it's not essential to Freud.",AS,,real,,
"better.With determination, she stayed true to her vision and earned recognition for her bold artistic choices.",DM,,real,,
"So if I take this one and put this one  I can superimpose the red  straight away I've superimposed a group, but look  the blue and re , and the white are out.",DIR,,real,,
and there were sounds of things breaking and you know you look you know we at one point we woke up to the sound of the uh the electric lines being ripped off our house and,AS,,real,,
Now look.,DIR,,real,,
"But what about when, I dunno i it   in his speech he's being very honest and saying well look we really need the support blah blah and the and then tries to put this er bit in about erm Marxist Leninism",AS,,real,,
"Well look, if if  you're wanting the next thing to do, I mean you've done that for seventh year",AS,,real,,
"and I'm gonna suggest that you take that along with you and you say, look, this is what you get, er whenever we want it.",AS,,real,,
"erm My inclination would be to those people who phone up and say ‘look, I borrowed your kit and I can't work out whether the red plug goes in the blue hole’ or whatever, to say, ‘Well, tough’you know",AS,,real,,
but now we're getting public services the schools the hospitals and if it weren't for the taxes we're putting in there uh look what the schools could cost you,AS,,real,,
"And say ‘look, part of growing up means that you're going to have to deal with nastiness’",AS,,real,,
"Now, that's okay, I would do that, but it's much better I think to say, ‘Look, I'm sorry they're not there would you like to ring back when the board is open’, because they won't realise you're not switchboard.",AS,,real,,
"It's, look we've got a problem haven't we, the problem is there's low, there's persistently low turn out in local government elections.",AS,,real,,
"I said, look pull over, let's talk about it.",AS,,real,,
"Hello Bryony! Look! Come one toy can come and yes, I'm in here as well",AS,,real,,
How do you spell look look,DIR,,real,,
"Look, look at it this way.",DIR,,real,,
"look, Have you been stealing your father's socks?",AS,,real,,
"he hasn't, I got it back off him. Looke there it is. He just took it",DIR,,real,,
"in fact, erm anybody that says a lot of sensible things and says look  if people are asked to  er, to er  increase their giving by nought percent that me , it probab",AS,,real,,
