sample,function,label,source,cosine_dist_to_real,dist_bucket
"With this new approach, she gained support for her initiative and organized a successful charity event that positively impacted local organizations.",DM,,real,,
"I haven't the faintest idea, look three four five six seven eight ",DIR,,real,,
"And John was great, and he showed her round and he said, well look, why don't you take one for a test drive.",AS,,real,,
Look it's obvious this one's a double positive and that's a double negative so they're going to go together and you're left with H and O H which is going to make the water it's obvious isn't it,AS,,real,,
Oh look ... the boys and girls are coming for play time.,AS,,real,,
"Yeah, yes, no, very, look hold on",DM,,real,,
was saying he agreed with me and i said look even your dad thinks that in this case,AS,,real,,
Well look.,AS,,real,,
"Well look we we haven't been in the Army a year, so we've got to be in two more years before it comes our turn our turn to be demobilized, so we just might as well sign up for a couple year, get two months leave and twenty quid, because we shall do that if we don't.",AS,,real,,
"So if I take this one and put this one  I can superimpose the red  straight away I've superimposed a group, but look  the blue and re , and the white are out.",DIR,,real,,
"O K so look let me just go through these notices er for today's tutorial period, one or two changes  erm again a thought for the week from the chaplain to begin with, during the approaching season of Lent, the best thing we can do is to centre our thoughts on what Jesus Christ did for us through his passion, death and resurrection.",AS,,real,,
"Look, look women are doing it too!",AS,,real,,
oh Bobby1 difference? LOOK let me get me tights. There's some tights.,AS,,real,,
I like that look well I like this one if out out out f all of them ,AS,,real,,
"Yeah I realize that but the thing is if we'd had a phone call to say look, we're going to be this late,",AS,,real,,
"Look, I don't want to insult your intelligence, I'm an Irishman right, we don't have a pile of that according to everybody, like ya know.",AS,,real,,
"Mm, well look, what I'm going to say to you know is, time marches on, that, do you agree that we go ahead with what Lillian's suggesting?",AS,,real,,
"The worst one was when we were doing one on Women's Studies and I said look, let's have your title and let's have some kind of format",AS,,real,,
"I mean, that's no reason, but we shouldn't be sort of saying, well look let's not, lets all not do this booklet now",AS,,real,,
"right I'm pleased [laugh] pleased to introduce to us, er, er against all these difficulties and the nearer you are at the front the better, there's all stuff here look",DIR,,real,,
"I mean i i i in a sense I think he was, he's been criticized unfairly for, for this because he  he, he copped all the blame for absolute egalitarianism, whereas in fact if, if you look at the details behind it he was aware of the dangers of encroachment on the middle peasant and was warning against that and saying look this shouldn't happen.",AS,,real,,
" they're starting to open.  Yeah Im just.  Look Grant, in a few days time ",AS,,real,,
"look, look, may I put it this way, we're in the directive of being able to point to something which permits the Secretary of State to delegate the function, that what's it for",DM,,real,,
"Now then I was going to ask one simple question and that is, has anyone thought about keep sending postcards to people, er if the, erm reply is going to be delayed in any way, because at least then the person if there's sufficiently good reference will be able to, phone up and say look you know, yes I'm not happy, it seems to me that that would be a way forward on that, erm.",AS,,real,,
"He's going, Ooh look there's a little tiny thin bit there I haven't done Oh",INTJ,,real,,
